sigla;nome_munic;imoveis_car;area_car
RN;Acari;216;21822.7287
RN;Açu;494;63310.1443
RN;Afonso Bezerra;183;22414.997
RN;Água Nova;22;715.5771
RN;Alexandria;757;17597.8542
RN;Almino Afonso;264;7629.8532
RN;Alto do Rodrigues;80;12253.5875
RN;Angicos;286;41280.2397
RN;Antônio Martins;573;8977.8125
RN;Apodi;1483;94757.38
RN;Areia Branca;125;26279.5797
RN;Arês;167;17669.3036
RN;Augusto Severo;701;49876.1429
RN;Baía Formosa;16;31940.9263
RN;Baraúna;278;34854.2784
RN;Barcelona;200;11787.2854
RN;Bento Fernandes;167;12213.6202
RN;Bodó;237;14310.2047
RN;Bom Jesus;346;5766.421
RN;Brejinho;499;3386.1934
RN;Caiçara do Norte;14;9657.2163
RN;Caiçara do Rio do Vento;35;14883.9308
RN;Caicó;942;83691.4837
RN;Campo Redondo;699;9342.9641
RN;Canguaretama;121;15367.6396
RN;Caraúbas;921;77391.6179
RN;Carnaúba dos Dantas;457;11202.1527
RN;Carnaubais;137;32607.1311
RN;Ceará-Mirim;374;33763.4127
RN;Cerro Corá;1018;24372.1829
RN;Coronel Ezequiel;818;11201.8066
RN;Coronel João Pessoa;169;4320.4147
RN;Cruzeta;147;14149.6101
RN;Currais Novos;574;45991.559
RN;Doutor Severiano;357;5883.7656
RN;Encanto;254;5486.524
RN;Equador;326;15326.9925
RN;Espírito Santo;98;4972.7464
RN;Extremoz;33;12578.2707
RN;Felipe Guerra;260;14812.884
RN;Fernando Pedroza;60;12859.2969
RN;Florânia;534;30418.988
RN;Francisco Dantas;69;5862.2276
RN;Frutuoso Gomes;75;1351.7149
RN;Galinhos;40;27608.8223
RN;Goianinha;96;11161.712
RN;Governador Dix-Sept Rosado;955;61355.5266
RN;Grossos;156;2594.8982
RN;Guamaré;59;15497.2526
RN;Ielmo Marinho;533;18325.2951
RN;Ipanguaçu;243;40872.3645
RN;Ipueira;94;4313.8035
RN;Itajá;87;30172.0302
RN;Itaú;104;6897.7197
RN;Jaçanã;443;2123.2719
RN;Jandaíra;166;25486.2193
RN;Janduís;243;20543.111
RN;Januário Cicco;365;7169.62
RN;Japi;242;15692.6798
RN;Jardim de Angicos;49;5051.5967
RN;Jardim de Piranhas;358;16280.5535
RN;Jardim do Seridó;486;24591.0424
RN;João Câmara;339;51175.1217
RN;João Dias;130;1511.8284
RN;José da Penha;167;2998.6157
RN;Jucurutu;842;54180.706
RN;Jundiá;258;1628.6223
RN;Lagoa d'Anta;242;5716.2932
RN;Lagoa de Pedras;421;5455.3
RN;Lagoa de Velhos;63;12449.9169
RN;Lagoa Nova;1462;11730.8332
RN;Lagoa Salgada;467;5506.1645
RN;Lajes;307;60193.9822
RN;Lajes Pintadas;291;6139.3195
RN;Lucrécia;123;1730.6876
RN;Luís Gomes;36;590.6343
RN;Macaíba;290;21899.1734
RN;Macau;99;41726.5629
RN;Major Sales;66;2345.4065
RN;Marcelino Vieira;569;19228.7942
RN;Martins;144;4188.0472
RN;Maxaranguape;117;5383.1184
RN;Messias Targino;101;8711.7192
RN;Montanhas;123;3839.5102
RN;Monte Alegre;789;8241.8668
RN;Monte das Gameleiras;124;1047.5813
RN;Mossoró;736;139080.3755
RN;Natal;34;252.4336
RN;Nísia Floresta;107;7366.136
RN;Nova Cruz;607;17196.5937
RN;Olho-d'Água do Borges;347;12111.8328
RN;Ouro Branco;473;19012.4269
RN;Paraná;364;4761.5872
RN;Paraú;72;23644.3838
RN;Parazinho;69;14514.4685
RN;Parelhas;618;34656.3419
RN;Parnamirim;4;88.9919
RN;Passa e Fica;304;3209.9139
RN;Passagem;39;1756.9479
RN;Patu;372;17077.5948
RN;Pau dos Ferros;249;13991.1822
RN;Pedra Grande;116;10422.3878
RN;Pedra Preta;133;20238.483
RN;Pedro Avelino;247;56700.1166
RN;Pedro Velho;102;6028.414
RN;Pendências;63;33471.9485
RN;Pilões;104;3730.7216
RN;Poço Branco;302;12136.337
RN;Portalegre;202;3711.5478
RN;Porto do Mangue;151;15580.7571
RN;Presidente Juscelino;147;8628.4256
RN;Pureza;337;25293.1677
RN;Rafael Fernandes;231;3986.5472
RN;Rafael Godeiro;213;5911.8775
RN;Riacho da Cruz;91;8704.9637
RN;Riacho de Santana;85;3058.2025
RN;Riachuelo;140;15418.9218
RN;Rio do Fogo;107;6204.2261
RN;Rodolfo Fernandes;115;9644.6467
RN;Ruy Barbosa;217;4589.6523
RN;Santa Cruz;502;26105.3211
RN;Santa Maria;147;8597.2441
RN;Santana do Matos;996;90109.8951
RN;Santana do Seridó;196;12734.8525
RN;Santo Antônio;913;15278.4568
RN;São Bento do Norte;140;27407.8475
RN;São Bento do Trairí;259;8451.8659
RN;São Fernando;198;14855.5733
RN;São Francisco do Oeste;223;5441.6177
RN;São Gonçalo do Amarante;74;6280.0357
RN;São João do Sabugi;181;18888.0807
RN;São José de Mipibu;227;12374.1869
RN;São José do Campestre;162;13403.4773
RN;São José do Seridó;220;10254.7974
RN;São Miguel;1287;6162.9618
RN;São Miguel do Gostoso;386;25839.3047
RN;São Paulo do Potengi;659;12196.0636
RN;São Pedro;401;11744.9678
RN;São Rafael;41;18764.7652
RN;São Tomé;635;36126.0253
RN;São Vicente;493;8953.3007
RN;Senador Elói de Souza;475;12247.0527
RN;Senador Georgino Avelino;40;464.7597
RN;Serra de São Bento;282;4622.8506
RN;Serra do Mel;1113;52646.3277
RN;Serra Negra do Norte;572;31287.0871
RN;Serrinha;269;9314.1293
RN;Serrinha dos Pintos;100;4263.0359
RN;Severiano Melo;220;9103.4755
RN;Sítio Novo;221;10580.6498
RN;Taboleiro Grande;80;5619.0265
RN;Taipu;270;18403.1199
RN;Tangará;222;16878.8322
RN;Tenente Ananias;590;14332.9552
RN;Tenente Laurentino Cruz;390;5723.8945
RN;Tibau;89;8632.7433
RN;Tibau do Sul;68;3334.63
RN;Timbaúba dos Batistas;211;9205.554
RN;Touros;578;56887.7661
RN;Triunfo Potiguar;171;6907.1772
RN;Umarizal;375;16070.609
RN;Upanema;602;53615.4314
RN;Várzea;102;3613.291
RN;Venha-Ver;144;2204.7564
RN;Vera Cruz;279;2999.4982
RN;Viçosa;23;1290.1636
RN;Vila Flor;23;2046.1345
