sigla;imoveis_car;area_car_ha
AC;37355;12721917.2
AL;90636;1901496.26
AM;56363;57896220
AP;6764;4574920.23
BA;784388;28624522.86
CE;255785;9580645.83
DF;14530;710006.44
ES;94480;3392533.34
GO;168236;30450082.87
MA;149379;23907454.33
MG;819504;47873274.1
MS;68477;32601053.95
MT;146137;78764796.18
PA;222647;71432425.3
PB;139786;3714266.77
PE;263543;6408927.74
PI;199033;15756520.39
PR;451936;17851577.05
RJ;52051;2596602.91
RN;71147;3509117.11
RO;127065;14433918.02
RR;10533;5645740.27
RS;570881;22598817.74
SC;343151;7834434.4
SE;72579;1630272.72
SP;373885;21749350.55
TO;79104;20267306.89
